FID,uai,nom,nature,code_nature,statut_public_prive,type_contrat_prive,code_type_contrat_prive,adresse,insee,code_postal,commune,voie_generale,voie_technologique,voie_professionnelle,telephone,fax,web,mail,restauration,hebergement,ulis,apprentissage,segpa,section_arts,section_cinema,section_theatre,section_sport,section_internationale,section_europeenne,lycee_agricole,lycee_militaire,lycee_des_metiers,post_bac,greta,siren_siret,nombre_d_eleves,effectifs_par_uai,fiche_onisep,precision_localisation,date_ouverture,etat,ministere_tutelle,multi_uai,pial,etablissement_mere,type_rattachement_etablissement_mere,zone_animation_pedagogique,code_zone_animation_pedagogique,datemaj,gid,the_geom
edu_education.lycee.4997,0690032K,Lycée Juliette Récamier,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,300,Public,SANS OBJET,99,57 rue de la Charité ,69382,69287,Lyon 2e Arrondissement,true,true,false,+33472416530,+33472416531,https://juliette-recamier.ent.auvergnerhonealpes.fr/,ce.0690032k@ac-lyon.fr,true,false,false,false,false,true,false,false,true,false,true,false,false,false,true,true,19690032800010,568,"{""2019-2020"": 705, ""2020-2021"": 751, ""2021-2022"": 658, ""2022-2023"": 584, ""2023-2024"": 568, ""2024-2025"": 568}",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2022,Rue,1965-05-01,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,0692693C,,,,,2025-10-07,4997,POINT (4.831210420797867 45.75219537957104)
edu_education.lycee.4982,0690003D,Lycée professionnel Barthélemy Thimonnier,LYCEE PROFESSIONNEL,320,Public,SANS OBJET,99,160 avenue André Lassagne ,69010,69210,L'Arbresle,false,false,true,+33474011911,+33474015057,https://barthelemy-thimonnier.ent.auvergnerhonealpes.fr/,ce.0690003D@ac-lyon.fr,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,true,19690003900013,330,"{""2019-2020"": 347, ""2020-2021"": 349, ""2021-2022"": 331, ""2022-2023"": 311, ""2023-2024"": 308, ""2024-2025"": 330}",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1975,Numéro de rue,1965-05-01,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,0691482L,,,,,2025-10-07,4982,POINT (4.613050900510913 45.83432422833564)
edu_education.lycee.5148,0691678Z,Institut Sandar La Salle,LYCEE PROFESSIONNEL,320,Privé,SOUS CONTRAT ETABLISSEMENT AGRICOLE,60,392 chemin de la Sablière BP 17 ,69116,69579,Limonest,true,true,true,+33478351130,+33478356870,https://www.sandar.org,limonest@cneap.fr,true,true,false,true,false,false,false,false,false,false,false,true,false,false,true,false,32529973300031,,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1285,Rue,1969-04-24,OUVERT,AGRICULTURE,false,,,,,,2025-10-07,5148,POINT (4.768763488886685 45.83467173248947)
edu_education.lycee.4986,0690010L,Lycée professionnel Tony Garnier,LYCEE PROFESSIONNEL,320,Public,SANS OBJET,99,235 boulevard Pinel ,69029,69500,Bron,false,false,true,+33472788300,+33472788318,https://tony-garnier.ent.auvergnerhonealpes.fr/,ce.0690010L@ac-lyon.fr,true,true,true,true,false,false,false,false,true,false,false,false,false,true,true,true,19690010400015,579,"{""2019-2020"": 513, ""2020-2021"": 520, ""2021-2022"": 571, ""2022-2023"": 587, ""2023-2024"": 573, ""2024-2025"": 579}",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12094,Numéro de rue,1965-05-01,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,0691479H,,,,,2025-10-07,4986,POINT (4.887129411109419 45.72672911256356)
edu_education.lycee.4998,0690035N,Lycée Auguste et Louis Lumière,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,300,Public,SANS OBJET,99,50 boulevard des Etats-Unis ,69388,69372,Lyon 8e Arrondissement,true,true,false,+33478783178,,https://lumiere.ent.auvergnerhonealpes.fr/,0690035N@ac-lyon.fr,true,true,false,false,false,true,true,false,true,false,false,false,false,false,true,true,19690035100012,1177,"{""2019-2020"": 1137, ""2020-2021"": 1107, ""2021-2022"": 1140, ""2022-2023"": 1140, ""2023-2024"": 1163, ""2024-2025"": 1177}",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16114,Numéro de rue,1960-09-01,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,0694295U,,,,,2025-10-07,4998,POINT (4.862068356620207 45.73611182403345)
edu_education.lycee.5014,0690074F,Lycée Parc Chabrières,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,300,Public,SANS OBJET,99,9 chemin des Chassagnes ,69149,69600,Oullins-Pierre-Bénite,true,true,false,+33472395656,,https://parc-chabrieres.ent.auvergnerhonealpes.fr/,ce.0690074f@ac-lyon.fr,true,false,false,true,false,true,false,true,false,false,true,false,false,false,true,true,19690074000016,792,"{""2019-2020"": 847, ""2020-2021"": 876, ""2021-2022"": 835, ""2022-2023"": 827, ""2023-2024"": 800, ""2024-2025"": 792}",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1832,Rue,1965-05-01,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,0690075G,,,,,2025-10-07,5014,POINT (4.809790411960818 45.72257677330354)
edu_education.lycee.5020,0690085T,Lycée polyvalent René Cassin,LYCEE POLYVALENT,306,Public,SANS OBJET,99,75 route de Saint-Clément BP 137 ,69243,69173,Tarare,true,true,true,+33474050074,+33474052277,http://cassin-laurencin.ent.auvergnerhonealpes.fr/,ce.0690085T@ac-lyon.fr,true,true,false,true,false,true,false,false,true,false,true,false,false,false,true,true,19690085600010,800,"{""2019-2020"": 860, ""2020-2021"": 801, ""2021-2022"": 835, ""2022-2023"": 835, ""2023-2024"": 844, ""2024-2025"": 800}",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8302,Numéro de rue,1965-05-01,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,0692700K,,,,,2025-10-07,5020,POINT (4.444735523834281 45.896641185418495)
edu_education.lycee.5010,0690048C,Lycée professionnel Diderot,LYCEE PROFESSIONNEL,320,Public,SANS OBJET,99,41 cours Général Giraud ,69381,69201,Lyon 1er Arrondissement,false,false,true,+33437408737,+33472101617,https://martiniere-diderot.ent.auvergnerhonealpes.fr/,ce.0690048C@ac-lyon.fr,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,true,19690048400011,252,"{""2019-2020"": 243, ""2020-2021"": 247, ""2021-2022"": 237, ""2022-2023"": 224, ""2023-2024"": 241, ""2024-2025"": 252}",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2659,Numéro de rue,1965-05-01,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,0694191F,,,,,2025-10-07,5010,POINT (4.822379789545433 45.76935588540566)
edu_education.lycee.5008,0690046A,Lycée professionnel Louise Labé,LYCEE PROFESSIONNEL,320,Public,SANS OBJET,99,65 boulevard Yves Farge ,69387,69007,Lyon 7e Arrondissement,false,false,true,+33478721234,+33478699625,https://louise-labe.ent.auvergnerhonealpes.fr/,ce.0690046A@ac-lyon.fr,true,false,false,true,false,false,false,false,false,false,true,false,false,true,true,true,19690046800014,418,"{""2019-2020"": 388, ""2020-2021"": 390, ""2021-2022"": 404, ""2022-2023"": 399, ""2023-2024"": 402, ""2024-2025"": 418}",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18847,Numéro de rue,1965-05-01,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,0694453R,,,,,2025-10-07,5008,POINT (4.831353109291624 45.739688227130664)
edu_education.lycee.5009,0690047B,Lycée professionnel Magenta,LYCEE PROFESSIONNEL,320,Public,SANS OBJET,99,64 rue Magenta ,69266,69100,Villeurbanne,false,false,true,+33478688757,+33478845364,https://magenta.ent.auvergnerhonealpes.fr/,ce.0690047B@ac-lyon.fr,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,19690047600017,334,"{""2019-2020"": 272, ""2020-2021"": 287, ""2021-2022"": 300, ""2022-2023"": 311, ""2023-2024"": 338, ""2024-2025"": 334}",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12000,Numéro de rue,1965-05-01,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,0691664J,,,,,2025-10-07,5009,POINT (4.8714046041468455 45.766139267369326)
edu_education.lycee.5000,0690037R,Lycée La Martinière Diderot - site Diderot,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,300,Public,SANS OBJET,99,41 cours Général Giraud ,69381,69283,Lyon 1er Arrondissement,true,true,false,+33437408737,+33478101617,https://www.lamartinierediderot.fr/,ce.0690037R@ac-lyon.fr,true,true,false,true,false,true,false,false,false,false,true,false,false,false,true,true,19690037700017,719,"{""2019-2020"": 754, ""2020-2021"": 757, ""2021-2022"": 768, ""2022-2023"": 772, ""2023-2024"": 733, ""2024-2025"": 719}",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11643,Numéro de rue,1965-05-01,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,true,0694191F,,,,,2025-10-07,5000,POINT (4.830024213685477 45.76801344610211)
edu_education.lycee.5205,0692450N,Section d'enseignement professionnel du Lycée polyvalent François Mansart,SECTION D ENSEIGNEMENT PROFESSIONNEL,334,Public,SANS OBJET,99,Rue JACQUARD 69240 THIZY LES BOURGS,69248,69240,Thizy-les-Bourgs,,,,+33474640526,,,ce.0692450N@ac-lyon.fr,true,true,true,,false,,,,,,,,,false,,false,,,,,Rue,1975-04-24,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,,0693566B,FILIERE OU DEPARTEMENT OU SECTION,,,2025-10-07,5205,POINT (4.312657072592858 46.02471434450935)
edu_education.lycee.5001,0690037R,Lycée La Martinière Diderot - site Terreaux,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,300,Public,SANS OBJET,99,18 place Gabriel Rambaud ,69381,69283,Lyon 1er Arrondissement,false,true,false,+33437408737,+33472101617,http://www.lamartinierediderot.fr/,ce.0690037R@ac-lyon.fr,true,true,false,true,false,false,false,false,false,false,false,false,false,false,true,true,19690037700017,719,"{""2019-2020"": 754, ""2020-2021"": 757, ""2021-2022"": 768, ""2022-2023"": 772, ""2023-2024"": 733, ""2024-2025"": 719}",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19292,Numéro de rue,1965-05-01,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,true,0694191F,,,,,2025-10-07,5001,POINT (4.830024213685477 45.76801344610211)
edu_education.lycee.5007,0690045Z,Lycée professionnel Jean Lurçat,LYCEE PROFESSIONNEL,320,Public,SANS OBJET,99,4 rue Ludovic Arrachart ,69388,69008,Lyon 8e Arrondissement,false,false,true,+33472780160,+33478750654,https://jean-lurcat.ent.auvergnerhonealpes.fr/,ce.0690045Z@ac-lyon.fr,true,false,true,true,false,false,false,false,false,false,true,false,false,false,false,true,19690045000012,505,"{""2019-2020"": 450, ""2020-2021"": 449, ""2021-2022"": 447, ""2022-2023"": 435, ""2023-2024"": 493, ""2024-2025"": 505}",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13093,Numéro de rue,1965-05-01,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,0694295U,,,,,2025-10-07,5007,POINT (4.8629994310375295 45.73232685427198)
edu_education.lycee.5023,0690093B,Lycée professionnel Hélène Boucher,LYCEE PROFESSIONNEL,320,Public,SANS OBJET,99,18 rue Rosenberg BP 21 ,69259,69631,Vénissieux,false,false,true,+33472900340,+33472900350,https://helene-boucher.ent.auvergnerhonealpes.fr/,ce.0690093B@ac-lyon.fr,true,true,true,true,false,false,false,false,false,false,true,false,false,true,true,true,19690093000013,372,"{""2019-2020"": 391, ""2020-2021"": 377, ""2021-2022"": 368, ""2022-2023"": 331, ""2023-2024"": 358, ""2024-2025"": 372}",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5084,Numéro de rue,1961-09-01,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,0691799F,,,,,2025-10-07,5023,POINT (4.890852272727113 45.698211315827606)
edu_education.lycee.5025,0690097F,Lycée polyvalent Claude Bernard,LYCEE POLYVALENT,306,Public,SANS OBJET,99,234 rue Philippe Héron BP 475 ,69264,69665,Villefranche-sur-Saône,true,true,true,+33474027272,+33474027280,https://claude-bernard.ent.auvergnerhonealpes.fr/,ce.0690097F@ac-lyon.fr,true,true,true,true,false,true,false,false,true,false,true,false,false,false,true,true,19690097100017,1186,"{""2019-2020"": 1273, ""2020-2021"": 1236, ""2021-2022"": 1204, ""2022-2023"": 1172, ""2023-2024"": 1194, ""2024-2025"": 1186}",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3163,Numéro de rue,1965-05-01,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,0692699J,,,,,2025-10-07,5025,POINT (4.712028447764922 45.98934570179681)
edu_education.lycee.5027,0690103M,Lycée polyvalent Frédéric Faÿs,LYCEE POLYVALENT,306,Public,SANS OBJET,99,46 rue Frédéric Faÿs BP 4076 ,69266,69615,Villeurbanne,true,true,true,+33472913950,+33472913969,https://lyc-frederic-fays.ent.auvergnerhonealpes.fr/le-lycee/,ce.0690103M@ac-lyon.fr,true,true,false,true,false,false,false,false,true,true,true,false,false,true,true,true,19690103700016,1297,"{""2019-2020"": 1090, ""2020-2021"": 1185, ""2021-2022"": 1223, ""2022-2023"": 1286, ""2023-2024"": 1252, ""2024-2025"": 1297}",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10160,Numéro de rue,1965-05-01,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,0691664J,,,,,2025-10-07,5027,POINT (4.904947114549764 45.76193606556021)
edu_education.lycee.5028,0690104N,Lycée Marcel Sembat,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,300,Public,SANS OBJET,99,20 bd Marcel Sembat ,69259,69694,Vénissieux,true,true,false,+33478785000,+33478785001,https://sembat-seguin.ent.auvergnerhonealpes.fr/,ce.0690104n@ac-lyon.fr,true,false,false,true,false,false,false,false,false,false,false,false,false,false,true,true,19690104500019,569,"{""2019-2020"": 536, ""2020-2021"": 554, ""2021-2022"": 551, ""2022-2023"": 568, ""2023-2024"": 582, ""2024-2025"": 569}",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9161,Numéro de rue,1965-05-01,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,0691480J,,,,,2025-10-07,5028,POINT (4.882702509812829 45.71648783527622)
edu_education.lycee.5030,0690106R,Section d'enseignement professionnel du Lycée polyvalent Frédéric Fays,SECTION D ENSEIGNEMENT PROFESSIONNEL,334,Public,SANS OBJET,99,46 rue Frédéric Fays BP 4076 69615 VILLEURBANNE CEDEX,69266,69615,Villeurbanne,,,,+33472913950,,,ce.0690106R@ac-lyon.fr,true,false,true,,false,,,,,,,,,false,,false,19690103700016,,,,Numéro de rue,1965-05-01,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,,0690103M,ANNEXE GEOGRAPHIQUE,,,2025-10-07,5030,POINT (4.904947114549764 45.76193606556021)
edu_education.lycee.5034,0690125L,Lycée professionnel Camille Claudel,LYCEE PROFESSIONNEL,320,Public,SANS OBJET,99,15 rue de Cuire ,69384,69004,Lyon 4e Arrondissement,false,false,true,+33472106050,+33472106059,https://camille-claudel.ent.auvergnerhonealpes.fr/,0690125L@ac-lyon.fr,true,false,true,false,false,false,false,false,false,false,true,false,false,false,true,true,19690125000015,341,"{""2019-2020"": 344, ""2020-2021"": 368, ""2021-2022"": 330, ""2022-2023"": 324, ""2023-2024"": 324, ""2024-2025"": 341}",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12997,Numéro de rue,1965-05-01,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,0691662G,,,,,2025-10-07,5034,POINT (4.830152393344741 45.77681781377212)
edu_education.lycee.5019,0690082P,Lycée Jean Perrin,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,300,Public,SANS OBJET,99,48 rue Pierre Baizet BP 41 ,69389,69338,Lyon 9e Arrondissement,true,true,false,+33472532300,,https://jean-perrin.ent.auvergnerhonealpes.fr/,ce.0690082P@ac-lyon.fr,true,true,false,false,false,false,false,false,true,true,true,false,false,false,true,true,19690082300010,704,"{""2019-2020"": 666, ""2020-2021"": 691, ""2021-2022"": 728, ""2022-2023"": 733, ""2023-2024"": 733, ""2024-2025"": 704}",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14047,Rue,1965-05-01,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,0692698H,,,,,2025-10-07,5019,POINT (4.809199564976039 45.788395004213214)
edu_education.lycee.5361,0694535E,Ecole générale privée Saint-Augustin,LYCEE D ENSEIGNEMENT GENERAL,302,Privé,HORS CONTRAT,10,10 avenue DU CHATER 69340 FRANCHEVILLE,69089,69340,Francheville,,,,+33672174110,,,secretariat@lycee-saintaugustin.fr,false,false,false,,false,,,,,,,,,false,,false,90914970000025,,,,Numéro de rue,2022-08-06,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,,,,,,2025-10-07,5361,POINT (4.772261503467737 45.74951448224092)
edu_education.lycee.5042,0690250X,Lycée horticole de Lyon-Dardilly - Paysage et environnement,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,300,Public,SANS OBJET,99,26 chemin de la Bruyère ,69072,69570,Dardilly,true,true,true,+33478666400,+33478666420,https://www.agri-lyon-dardilly-ecully.fr,epl.dardilly@educagri.fr,true,true,false,false,false,false,false,false,false,false,true,true,false,false,true,true,19690250600019,,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8285,Numéro de rue,1968-12-04,OUVERT,AGRICULTURE,false,,,,,,2025-10-07,5042,POINT (4.770043077927612 45.814224317844804)
edu_education.lycee.5044,0690279D,"Lycée d'enseignement général, technologique et professionnel agricole André Paillot",LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,300,Public,SANS OBJET,99,4 chemin des Grabelières ,69204,69230,Saint-Genis-Laval,false,true,true,+33478567575,+33478563700,https://www.epl-saintgenislaval.fr/,epl.st-genis@educagri.fr,true,true,false,true,false,false,false,false,false,false,true,true,false,false,true,true,19690279500018,,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11436,Rue,1969-02-17,OUVERT,AGRICULTURE,false,,,,,,2025-10-07,5044,POINT (4.787305105406347 45.66491687475812)
edu_education.lycee.5046,0690281F,Lycée professionnel Joseph-Marie Jacquard,LYCEE PROFESSIONNEL,320,Public,SANS OBJET,99,20-28 rue Louis Auguste Blanqui BP 35 ,69149,69921,Oullins-Pierre-Bénite,false,false,true,+33478510170,+33478505573,https://joseph-marie-jacquard.ent.auvergnerhonealpes.fr//,ce.0690281F@ac-lyon.fr,true,false,false,true,false,false,false,false,false,false,true,false,false,true,true,true,19690281100013,465,"{""2019-2020"": 417, ""2020-2021"": 437, ""2021-2022"": 429, ""2022-2023"": 428, ""2023-2024"": 454, ""2024-2025"": 465}",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18259,Numéro de rue,1967-10-10,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,0690075G,,,,,2025-10-07,5046,POINT (4.810123605009668 45.71189515466997)
edu_education.lycee.5031,0690107S,Lycée professionnel Alfred de Musset,LYCEE PROFESSIONNEL,320,Public,SANS OBJET,99,128 rue de la Poudrette ,69266,69100,Villeurbanne,false,false,true,+33478269345,+33478410772,https://alfred-de-musset.ent.auvergnerhonealpes.fr/,ce.0690107S@ac-lyon.fr,true,true,true,false,false,false,false,false,false,false,true,false,false,true,true,true,19690107800010,312,"{""2019-2020"": 291, ""2020-2021"": 330, ""2021-2022"": 318, ""2022-2023"": 335, ""2023-2024"": 323, ""2024-2025"": 312}",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.825,Numéro de rue,1965-05-01,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,0691664J,,,,,2025-10-07,5031,POINT (4.921085557544194 45.756878439593805)
