FID,uai,nom,nature,code_nature,statut_public_prive,type_contrat_prive,code_type_contrat_prive,adresse,insee,code_postal,commune,telephone,fax,web,mail,restauration,hebergement,ulis,segpa,section_sport,section_internationale,appartenance_education_prioritaire,greta,siren_siret,nombre_d_eleves,effectifs_par_uai,fiche_onisep,precision_localisation,date_ouverture,etat,ministere_tutelle,multi_uai,pial,zone_animation_pedagogique,code_zone_animation_pedagogique,circonscription,ips_par_uai,datemaj,gid,the_geom
edu_education.college.5089,0690610N,Ecole secondaire privée La Péraudière,COLLEGE,340,Privé,HORS CONTRAT,10,LIEU DIT LA PERAUDIERE LIEU DIT LA PERAUDIERE 69770 MONTROTTIER,69139,69770,Montrottier,+33474701326,,,,false,false,false,false,,,,false,77970942700024,,,,Ville,1954-09-17,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,,,,,,2025-10-07,5089,POINT (4.466349978582651 45.790130777650994)
edu_education.college.4981,0690002C,Collège Asa Paulini,COLLEGE,340,Public,SANS OBJET,99,900 avenue de l'Europe ,69009,69480,Anse,+33474670222,+33474099890,https://asapaulini-anse.ent.auvergnerhonealpes.fr/,ce.0690002C@ac-lyon.fr,true,false,true,false,false,false,,true,19690002100011,826,"{""2019-2020"": 736, ""2020-2021"": 767, ""2021-2022"": 794, ""2022-2023"": 814, ""2023-2024"": 831, ""2024-2025"": 826}",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7455,Numéro de rue,1965-05-01,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,0690002C,,,Circonscription d'inspection du 1er degré d'Anse,"{""2016-2017"": 122.4, ""2017-2018"": 121.8, ""2018-2019"": 121.5, ""2019-2020"": 122, ""2020-2021"": 121.3, ""2021-2022"": 122.7, ""2022-2023"": 121.7, ""2023-2024"": 120.6, ""2024-2025"": 122}",2025-10-07,4981,POINT (4.712986205748601 45.93879178586329)
edu_education.college.5350,0694386T,Ecole secondaire privée Declic,COLLEGE,340,Privé,HORS CONTRAT,10,31 rue DES TUILLIERS 69008 LYON,69388,69008,Lyon 8e Arrondissement,+33670750133,,,jean-armand.barone@college-declic.fr,true,false,false,false,,,,false,,,,,Numéro de rue,2019-08-27,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,,,,,,2025-10-07,5350,POINT (4.864690225211713 45.74649634215559)
edu_education.college.5138,0691665K,Section d'enseignement général et professionnel adapté du Collège Jean Jaurès,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,390,Public,SANS OBJET,99,54 rue Jean Jaurès 69100 VILLEURBANNE,69266,69100,Villeurbanne,+33478532919,,,ce.0691665K@ac-lyon.fr,true,false,false,false,,,,false,19691664700015,,,,Numéro de rue,1969-03-21,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,,,,Circonscription d'inspection du 1er degré de Lyon - ASH B,,2025-10-07,5138,POINT (4.883449409156435 45.757598802511225)
edu_education.college.4983,0690005F,Collège du Val d'Ardières,COLLEGE,340,Public,SANS OBJET,99,474 rue de Verdun ,69018,69430,Beaujeu,+33474048439,+33474048634,https://valdardieres-beaujeu.ent.auvergnerhonealpes.fr/,ce.0690005F@ac-lyon.fr,true,false,true,false,true,false,,false,19690005400012,297,"{""2019-2020"": 287, ""2020-2021"": 306, ""2021-2022"": 283, ""2022-2023"": 268, ""2023-2024"": 290, ""2024-2025"": 297}",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8393,Rue,1965-05-01,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,0690005F,,,Circonscription d'inspection du 1er degré de Belleville,"{""2016-2017"": 105.4, ""2017-2018"": 105.6, ""2018-2019"": 107.8, ""2019-2020"": 105.7, ""2020-2021"": 105.4, ""2021-2022"": 106.9, ""2022-2023"": 103.1, ""2023-2024"": 102.6, ""2024-2025"": 102.6}",2025-10-07,4983,POINT (4.592804744637627 46.15134273849889)
edu_education.college.4984,0690007H,Collège Émile Zola,COLLEGE,340,Public,SANS OBJET,99,Avenue de Verdun ,69019,69220,Belleville-en-Beaujolais,+33474661618,+33474696434,https://college-emile-zola.blog.ac-lyon.fr/,ce.0690007H@ac-lyon.fr,true,false,true,true,true,false,,false,19690007000018,746,"{""2019-2020"": 767, ""2020-2021"": 758, ""2021-2022"": 787, ""2022-2023"": 789, ""2023-2024"": 779, ""2024-2025"": 746}",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17514,Rue,1967-09-15,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,0690007H,,,Circonscription d'inspection du 1er degré de Belleville,"{""2016-2017"": 100.1, ""2017-2018"": 97.7, ""2018-2019"": 98.3, ""2019-2020"": 99.7, ""2020-2021"": 100.3, ""2021-2022"": 101.5, ""2022-2023"": 98.8, ""2023-2024"": 99.3, ""2024-2025"": 96.2}",2025-10-07,4984,POINT (4.7492541426159125 46.10498945788737)
edu_education.college.5155,0691731G,Section d'enseignement général et professionnel adapté du Collège Jean Charcot,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,390,Public,SANS OBJET,99,13 rue COMMANDANT CHARCOT 69005 LYON,69385,69005,Lyon 5e Arrondissement,+33472388181,,,ce.0691731G@ac-lyon.fr,true,false,false,false,,,,false,19691670400014,,,,Numéro de rue,1970-02-20,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,,,,Circonscription d'inspection du 1er degré de Lyon - ASH B,,2025-10-07,5155,POINT (4.805426787641749 45.7535244316568)
edu_education.college.4987,0690015S,Collège le Bassenon,COLLEGE,340,Public,SANS OBJET,99,4 rue Girard Desargues ,69064,69420,Condrieu,+33474595126,+33474566103,https://bassenon-condrieu.ent.auvergnerhonealpes.fr/,ce.0690015S@ac-lyon.fr,true,false,true,false,true,false,,true,19690015300012,561,"{""2019-2020"": 555, ""2020-2021"": 563, ""2021-2022"": 549, ""2022-2023"": 576, ""2023-2024"": 556, ""2024-2025"": 561}",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10283,Numéro de rue,1965-05-01,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,0690015S,,,Circonscription d'inspection du 1er degré de Mornant Sud,"{""2016-2017"": 105.6, ""2017-2018"": 105.6, ""2018-2019"": 116.2, ""2019-2020"": 116.3, ""2020-2021"": 116.6, ""2021-2022"": 118.4, ""2022-2023"": 113.5, ""2023-2024"": 112.8, ""2024-2025"": 113.4}",2025-10-07,4987,POINT (4.776331322441668 45.47158463989875)
edu_education.college.4988,0690016T,Collège François Brossette,COLLEGE,340,Public,SANS OBJET,99,Rue Croix-Dumont ,69066,69470,Cours-la-Ville,+33474898303,+33474898424,https://francoisbrossette-cours.ent.auvergnerhonealpes.fr/,ce.0690016T@ac-lyon.fr,true,false,false,false,false,false,,true,19690016100015,210,"{""2019-2020"": 206, ""2020-2021"": 222, ""2021-2022"": 218, ""2022-2023"": 226, ""2023-2024"": 221, ""2024-2025"": 210}",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9096,Numéro de rue,1965-05-01,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,0690016T,,,Circonscription d'inspection du 1er degré de Tarare,"{""2016-2017"": 95.3, ""2017-2018"": 93.2, ""2018-2019"": 91.8, ""2019-2020"": 92.3, ""2020-2021"": 92.3, ""2021-2022"": 93, ""2022-2023"": 93.2, ""2023-2024"": 95.3, ""2024-2025"": 97.7}",2025-10-07,4988,POINT (4.321761731841764 46.095632080672324)
edu_education.college.5013,0690070B,Collège du Mont Saint-Rigaud,COLLEGE,340,Public,SANS OBJET,99,142 rue du collège Monsols ,69135,69860,Deux-Grosnes,+33474047063,+33474047533,https://montstrigaud-monsols.ent.auvergnerhonealpes.fr/,ce.0690070B@ac-lyon.fr,true,true,false,false,false,false,,true,19690070800013,169,"{""2019-2020"": 182, ""2020-2021"": 192, ""2021-2022"": 187, ""2022-2023"": 190, ""2023-2024"": 191, ""2024-2025"": 169}",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2329,Numéro de rue,1965-05-01,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,0690117C,,,Circonscription d'inspection du 1er degré de Belleville,"{""2016-2017"": 99.1, ""2017-2018"": 99.2, ""2018-2019"": 97.8, ""2019-2020"": 98.4, ""2020-2021"": 97.2, ""2021-2022"": 97.1, ""2022-2023"": 99.3, ""2023-2024"": 101, ""2024-2025"": 104}",2025-10-07,5013,POINT (4.515259225435014 46.22233991079177)
edu_education.college.5015,0690075G,Collège Pierre Brossolette,COLLEGE,340,Public,SANS OBJET,99,19 boulevard Général de Gaulle ,69149,69600,Oullins-Pierre-Bénite,+33478510217,+33472392585,https://pbrossolette.blogs.laclasse.com/,0690075g@ac-lyon.fr,true,false,true,true,true,false,,true,19690075700010,429,"{""2019-2020"": 444, ""2020-2021"": 468, ""2021-2022"": 475, ""2022-2023"": 485, ""2023-2024"": 451, ""2024-2025"": 429}",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8658,Numéro de rue,1965-05-01,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,0690075G,,,Circonscription d'inspection du 1er degré d'Oullins,"{""2016-2017"": 91.7, ""2017-2018"": 92.6, ""2018-2019"": 90.5, ""2019-2020"": 89.6, ""2020-2021"": 93.7, ""2021-2022"": 92.1, ""2022-2023"": 93.5, ""2023-2024"": 94.5, ""2024-2025"": 97.5}",2025-10-07,5015,POINT (4.790044348266654 45.71649429285691)
edu_education.college.5016,0690076H,Collège Marcel Pagnol,COLLEGE,340,Public,SANS OBJET,99,44 rue Charles de Gaulle ,69149,69310,Oullins-Pierre-Bénite,+33472392581,+33478512843,https://collegemarcelpagnol.blogs.laclasse.com/,ce.0690076H@ac-lyon.fr,true,false,true,false,true,false,REP+,false,19690076500013,352,"{""2019-2020"": 297, ""2020-2021"": 286, ""2021-2022"": 300, ""2022-2023"": 321, ""2023-2024"": 338, ""2024-2025"": 352}",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7516,Numéro de rue,1965-05-01,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,0690076H,,,Circonscription d'inspection du 1er degré de Saint Fons,"{""2024-2025"": 85.2}",2025-10-07,5016,POINT (4.8186190425480575 45.69940404149479)
edu_education.college.5017,0690078K,Collège du Val d'Argent,COLLEGE,340,Public,SANS OBJET,99,137 rue des Prairies ,69201,69610,Sainte-Foy-l'Argentière,+33474722600,+33474722603,https://valdargent-stefoylargentiere.ent.auvergnerhonealpes.fr/,ce.0690078k@ac-lyon.fr,true,false,true,false,true,false,,false,19690078100010,432,"{""2019-2020"": 441, ""2020-2021"": 448, ""2021-2022"": 440, ""2022-2023"": 451, ""2023-2024"": 445, ""2024-2025"": 432}",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8294,Numéro de rue,1965-05-01,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,0690078K,,,Circonscription d'inspection du 1er degré de Grézieu la Varenne,"{""2016-2017"": 108.1, ""2017-2018"": 106.4, ""2018-2019"": 107.6, ""2019-2020"": 110, ""2020-2021"": 112.1, ""2021-2022"": 112.6, ""2022-2023"": 107.6, ""2023-2024"": 106.5, ""2024-2025"": 106.4}",2025-10-07,5017,POINT (4.476793866825912 45.70713072070474)
edu_education.college.5018,0690080M,Collège Bois Franc,COLLEGE,340,Public,SANS OBJET,99,525 route du Beaujolais ,69206,69830,Saint-Georges-de-Reneins,+33474676050,+33474676724,https://leboisfranc-stgeorgesdereneins.ent.auvergnerhonealpes.fr/,ce.0690080m@ac-lyon.fr,true,false,true,true,false,false,,true,19690080700013,739,"{""2019-2020"": 733, ""2020-2021"": 742, ""2021-2022"": 751, ""2022-2023"": 741, ""2023-2024"": 735, ""2024-2025"": 739}",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1831,Numéro de rue,1965-05-01,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,0690080M,,,Circonscription d'inspection du 1er degré de Belleville,"{""2016-2017"": 106.8, ""2017-2018"": 110.3, ""2018-2019"": 111.1, ""2019-2020"": 111.6, ""2020-2021"": 112.7, ""2021-2022"": 114.3, ""2022-2023"": 113.2, ""2023-2024"": 113.3, ""2024-2025"": 114.2}",2025-10-07,5018,POINT (4.713020512701666 46.060652918137535)
edu_education.college.5021,0690088W,Section d'enseignement général et professionnel adapté du Collège Le Plan du Loup,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,390,Public,SANS OBJET,99,35 allée ALBAN VISTEL 69110 STE FOY LES LYON,69202,69110,Sainte-Foy-lès-Lyon,+33472167090,,,ce.0690088W@ac-lyon.fr,true,false,false,false,,,,false,19691484000018,,,,Numéro de rue,1968-10-04,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,,,,Circonscription d'inspection du 1er degré de Lyon - ASH B,,2025-10-07,5021,POINT (4.789657248014452 45.733299731900026)
edu_education.college.4999,0690036P,Collège Victor Schoelcher,COLLEGE,340,Public,SANS OBJET,99,273 rue Victor Schoelcher ,69389,69009,Lyon 9e Arrondissement,+33478353660,+33478438842,,ce.0690036P@ac-lyon.fr,true,false,true,true,true,false,REP+,true,19690036900014,491,"{""2019-2020"": 499, ""2020-2021"": 467, ""2021-2022"": 480, ""2022-2023"": 478, ""2023-2024"": 488, ""2024-2025"": 491}",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2023,Numéro de rue,1965-05-01,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,0690036P,,,Circonscription d'inspection du 1er degré d'Ecully Lyon Duchère,"{""2016-2017"": 76.6, ""2017-2018"": 77.1, ""2018-2019"": 76.2, ""2019-2020"": 76.7, ""2020-2021"": 74.4, ""2021-2022"": 75.1, ""2022-2023"": 75.4, ""2023-2024"": 75.4, ""2024-2025"": 75}",2025-10-07,4999,POINT (4.795596483244692 45.78884825807842)
edu_education.college.5026,0690099H,Collège Jean Moulin,COLLEGE,340,Public,SANS OBJET,99,229 rue du collège ,69264,69400,Villefranche-sur-Saône,+33474653736,+33474622304,https://jeanmoulin-villefranchesursaone.ent.auvergnerhonealpes.fr/,ce.0690099h@ac-lyon.fr,true,false,true,true,true,false,REP+,true,19690099700012,518,"{""2019-2020"": 544, ""2020-2021"": 538, ""2021-2022"": 505, ""2022-2023"": 508, ""2023-2024"": 507, ""2024-2025"": 518}",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12121,Numéro de rue,1965-05-01,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,0690099H,,,Circonscription d'inspection du 1er degré de Villefranche sur Saône,"{""2016-2017"": 75.8, ""2017-2018"": 75.6, ""2018-2019"": 74.9, ""2019-2020"": 75.1, ""2020-2021"": 74, ""2021-2022"": 74, ""2022-2023"": 74.9, ""2023-2024"": 75.3, ""2024-2025"": 76.5}",2025-10-07,5026,POINT (4.714890389447981 45.98378288646118)
edu_education.college.5041,0690249W,Collège Pierre Valdo,COLLEGE,340,Public,SANS OBJET,99,11 chemin Claude Debussy BP  224 ,69256,69515,Vaulx-en-Velin,+33478795130,+33478795133,https://college-pierre-valdo.etab.ac-lyon.fr/spip/,ce.0690249w@ac-lyon.fr,true,false,true,false,true,false,REP+,false,19690249800027,605,"{""2019-2020"": 546, ""2020-2021"": 555, ""2021-2022"": 563, ""2022-2023"": 586, ""2023-2024"": 612, ""2024-2025"": 605}",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15167,Numéro de rue,1982-09-01,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,0690249W,,,Circonscription d'inspection du 1er degré de Vaulx en Velin 2,"{""2016-2017"": 75.4, ""2017-2018"": 74.2, ""2018-2019"": 73.2, ""2019-2020"": 76.8, ""2020-2021"": 76.5, ""2021-2022"": 77.4, ""2022-2023"": 79.4, ""2023-2024"": 80.8, ""2024-2025"": 80.2}",2025-10-07,5041,POINT (4.92880538362763 45.77967096018125)
edu_education.college.5045,0690280E,Collège les Iris,COLLEGE,340,Public,SANS OBJET,99,287 rue de Pressensé ,69266,69100,Villeurbanne,+33478843175,+33478847969,https://reseaulesiris.blogs.laclasse.com/,ce.0690280e@ac-lyon.fr,true,false,true,false,false,false,REP,false,19690280300010,469,"{""2019-2020"": 715, ""2020-2021"": 722, ""2021-2022"": 693, ""2022-2023"": 596, ""2023-2024"": 539, ""2024-2025"": 469}",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10547,Numéro de rue,1967-10-10,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,0691664J,,,Circonscription d'inspection du 1er degré de Villeurbanne 1,"{""2016-2017"": 86.6, ""2017-2018"": 85.3, ""2018-2019"": 84.8, ""2019-2020"": 84.5, ""2020-2021"": 84.1, ""2021-2022"": 82.9, ""2022-2023"": 84.6, ""2023-2024"": 83, ""2024-2025"": 83}",2025-10-07,5045,POINT (4.8968622457316275 45.76927020253777)
edu_education.college.5011,0690053H,Collège Professeur Dargent,COLLEGE,340,Public,SANS OBJET,99,5 rue Jeanne Koehler ,69383,69003,Lyon 3e Arrondissement,+33478540926,+33472686645,https://college-marcel-dargent.etab.ac-lyon.fr/spip/,ce.0690053H@ac-lyon.fr,true,true,true,true,true,false,,false,19690053400013,696,"{""2019-2020"": 724, ""2020-2021"": 757, ""2021-2022"": 696, ""2022-2023"": 695, ""2023-2024"": 675, ""2024-2025"": 696}",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1613,Numéro de rue,1965-05-01,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,0690053H,,,Circonscription d'inspection du 1er degré de Lyon 3ème,"{""2016-2017"": 102.1, ""2017-2018"": 104.1, ""2018-2019"": 107, ""2019-2020"": 110, ""2020-2021"": 111.6, ""2021-2022"": 109.6, ""2022-2023"": 105.1, ""2023-2024"": 105, ""2024-2025"": 105.6}",2025-10-07,5011,POINT (4.870113433686356 45.74669927171092)
edu_education.college.5369,0694659P,Collège Katia Krafft,COLLEGE,340,Public,SANS OBJET,99,10 avenue de la République ,69259,69200,Vénissieux,,,,ce.0694659P@ac-lyon.fr,false,false,false,false,false,false,REP+,false,93998967900013,,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.25001,Numéro de rue,2024-10-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,0691730F,,,,,2025-10-07,5369,POINT (4.866614640480067 45.70755440374652)
edu_education.college.5012,0690060R,Collège Jean Mermoz,COLLEGE,340,Public,SANS OBJET,99,192 boulevard Pinel ,69388,69008,Lyon 8e Arrondissement,+33478746552,+33478766501,https://jean-mermoz.etab.ac-lyon.fr/spip/,ce.0690060R@ac-lyon.fr,false,false,true,false,false,false,REP,false,19690060900013,287,"{""2019-2020"": 233, ""2020-2021"": 268, ""2021-2022"": 263, ""2022-2023"": 279, ""2023-2024"": 293, ""2024-2025"": 287}",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6823,Numéro de rue,1965-05-01,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,0694295U,,,Circonscription d'inspection du 1er degré de Vénissieux - Lyon 8ème,"{""2016-2017"": 75.2, ""2017-2018"": 72.9, ""2018-2019"": 76.7, ""2019-2020"": 76.8, ""2020-2021"": 80, ""2021-2022"": 88.6, ""2022-2023"": 84, ""2023-2024"": 84, ""2024-2025"": 85.7}",2025-10-07,5012,POINT (4.888826360955457 45.733786848592075)
edu_education.college.5033,0690117C,Collège Jean Claude Ruet,COLLEGE,340,Public,SANS OBJET,99,95 avenue Jean-Baptiste Sornay ,69267,69910,Villié-Morgon,+33474042110,+33474042069,https://jeanclauderuet-villiemorgon.ent.auvergnerhonealpes.fr/,ce.0690117c@ac-lyon.fr,true,false,true,false,false,false,,true,19690117700010,474,"{""2019-2020"": 432, ""2020-2021"": 462, ""2021-2022"": 485, ""2022-2023"": 506, ""2023-2024"": 500, ""2024-2025"": 474}",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12618,Numéro de rue,1965-05-01,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,0690117C,,,Circonscription d'inspection du 1er degré de Belleville,"{""2016-2017"": 112.8, ""2017-2018"": 112.8, ""2018-2019"": 113.7, ""2019-2020"": 115, ""2020-2021"": 115.4, ""2021-2022"": 114.8, ""2022-2023"": 110.9, ""2023-2024"": 113, ""2024-2025"": 113.6}",2025-10-07,5033,POINT (4.681453185340324 46.162518119510324)
edu_education.college.5353,0694407R,Section d'enseignement général et professionnel adapté du Collège Simone Veil,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,390,Public,SANS OBJET,99,Chemin de Revaison 69800 ST PRIEST,69290,69800,Saint-Priest,+33487768374,,,ce.0694407R@ac-lyon.fr,true,false,false,false,,,,false,20009333400015,,,,Rue,2020-09-01,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,false,,,,,,2025-10-07,5353,POINT (4.921500290216627 45.70570676357742)
